"player_name","player_url","season_injured","injury","injured_since","injured_until","duration","games_missed","club"
"
                                    
                        #31                    
                                Ederson            ","https://www.transfermarkt.com/ederson/profil/spieler/238223","23/24","Eyebow fracture",2024-05-14,2024-07-28,"75 days","3","Manchester City"
"
                                    
                        #31                    
                                Ederson            ","https://www.transfermarkt.com/ederson/profil/spieler/238223","23/24","Muscle injury",2024-03-10,2024-04-05,"26 days","4","Manchester City"
"
                                    
                        #31                    
                                Ederson            ","https://www.transfermarkt.com/ederson/profil/spieler/238223","23/24","Knee injury",2024-01-13,2024-01-20,"7 days","1","Manchester City"
"
                                    
                        #31                    
                                Ederson            ","https://www.transfermarkt.com/ederson/profil/spieler/238223","20/21","Virus",2020-12-27,2021-01-12,"16 days","3","Manchester City"
"
                                    
                        #31                    
                                Ederson            ","https://www.transfermarkt.com/ederson/profil/spieler/238223","19/20","Ill",2019-12-30,2020-01-07,"8 days","3","Manchester City"
"
                                    
                        #31                    
                                Ederson            ","https://www.transfermarkt.com/ederson/profil/spieler/238223","19/20","Ill",2019-12-08,2019-12-14,"6 days","1","Manchester City"
"
                                    
                        #31                    
                                Ederson            ","https://www.transfermarkt.com/ederson/profil/spieler/238223","19/20","muscular problems",2019-11-06,2019-11-22,"16 days","4","Manchester City"
"
                                    
                        #31                    
                                Ederson            ","https://www.transfermarkt.com/ederson/profil/spieler/238223","17/18","Facial injury",2017-09-10,2017-09-12,"2 days",NA,"Brazil"
"
                                    
                        #31                    
                                Ederson            ","https://www.transfermarkt.com/ederson/profil/spieler/238223","16/17","Meniscus injury",2016-07-11,2016-08-09,"29 days","1","SL Benfica"
"
                                    
                        #31                    
                                Ederson            ","https://www.transfermarkt.com/ederson/marktwertverlauf/spieler/238223",NA,NA,NA,NA,NA,NA,NA
"
                                    
                        #18                    
                                Stefan Ortega            ","https://www.transfermarkt.com/stefan-ortega/profil/spieler/85941","21/22","Corona virus",2021-12-17,2021-12-31,"14 days","1","Arminia Bielefeld"
